state,indicator_id,indicator,indicator_category,urban,rural,total,total_2005-06
Tamil Nadu,35,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),Maternity Care (for last birth in the 5 years before the survey),65.1,62.9,64,28.2
Tamil Nadu,36,Mothers who had full antenatal care (%),Maternity Care (for last birth in the 5 years before the survey),46.3,43.8,45,27.5
Tamil Nadu,37,Registered pregnancies for which the mother received Mother and Child Protection (MCP) card (%),Maternity Care (for last birth in the 5 years before the survey),96,96,96,na
Tamil Nadu,38,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),Maternity Care (for last birth in the 5 years before the survey),74.3,73.8,74.1,85.6
Tamil Nadu,39,Mothers who received financial assistance under Janani Suraksha Yojana (JSY) for births delivered in an institution (%),Maternity Care (for last birth in the 5 years before the survey),25.3,33.6,29.5,na
Tamil Nadu,40,Average out of pocket expenditure per delivery in public health facility (Rs.),Maternity Care (for last birth in the 5 years before the survey),"2,476","2,511","2,496",na
Tamil Nadu,41,Children born at home who were taken to a health facility for check-up within 24 hours of birth (%),Maternity Care (for last birth in the 5 years before the survey),na,-13,-11.3,2.1
Tamil Nadu,42,Children who received a health check after birth from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of birth (%),Maternity Care (for last birth in the 5 years before the survey),34.9,35.8,35.4,na
Tamil Nadu,43,Institutional births (%),Delivery Care (for births in the 5 years before the survey),99.2,98.7,99,87.8
Tamil Nadu,44,Institutional births in public facility (%),Delivery Care (for births in the 5 years before the survey),58.7,73.8,66.7,48.1
Tamil Nadu,45,Home delivery conducted by skilled health personnel (out of total deliveries) (%),Delivery Care (for births in the 5 years before the survey),0.6,0.6,0.6,2.9
Tamil Nadu,46,Births assisted by a doctor/nurse/LHV/ANM/other health personnel (%),Delivery Care (for births in the 5 years before the survey),99.6,99,99.3,90.6
Tamil Nadu,47,Births delivered by caesarean section (%),Delivery Care (for births in the 5 years before the survey),36.1,32.3,34.1,20.3
Tamil Nadu,48,Births in a private health facility delivered by caesarean section (%),Delivery Care (for births in the 5 years before the survey),48.6,55.2,51.3,33
Tamil Nadu,49,Births in a public health facility delivered by caesarean section (%),Delivery Care (for births in the 5 years before the survey),28,25.1,26.3,14.9
Tamil Nadu,50,"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",Child Immunizations and Vitamin A Supplementation,73.3,66.8,69.7,80.9
Tamil Nadu,51,Children age 12-23 months who have received BCG (%),Child Immunizations and Vitamin A Supplementation,96.2,93.9,94.9,99.5
Tamil Nadu,52,Children age 12-23 months who have received 3 doses of polio vaccine (%),Child Immunizations and Vitamin A Supplementation,84.4,80.7,82.3,87.8
Tamil Nadu,53,Children age 12-23 months who have received 3 doses of DPT vaccine (%),Child Immunizations and Vitamin A Supplementation,86.3,83.1,84.5,95.7
Tamil Nadu,54,Children age 12-23 months who have received measles vaccine (%),Child Immunizations and Vitamin A Supplementation,85.9,84.4,85.1,92.5
Tamil Nadu,55,Children age 12-23 months who have received 3 doses of Hepatitis B vaccine (%),Child Immunizations and Vitamin A Supplementation,70.9,66.1,68.2,na
Tamil Nadu,56,Children age 9-59 months who received a vitamin A dose in last 6 months (%),Child Immunizations and Vitamin A Supplementation,65.9,70.5,68.3,33.1
Tamil Nadu,57,Children age 12-23 months who received most of the vaccinations in public health facility (%),Child Immunizations and Vitamin A Supplementation,78.7,91.9,86.1,75
Tamil Nadu,58,Children age 12-23 months who received most of the vaccinations in private health facility (%),Child Immunizations and Vitamin A Supplementation,21.3,8.1,14,25
Tamil Nadu,59,Prevalence of diarrhoea (reported) in the last 2 weeks preceding the survey (%),Treatment of Childhood Diseases (children under age 5 years),8.2,7.8,8,5.4
Tamil Nadu,60,Children with diarrhoea in the last 2 weeks who received oral rehydration salts (ORS) (%),Treatment of Childhood Diseases (children under age 5 years),65,58.7,61.8,32.2
Tamil Nadu,61,Children with diarrhoea in the last 2 weeks who received zinc (%),Treatment of Childhood Diseases (children under age 5 years),46.6,36.3,41.3,na
Tamil Nadu,62,Children with diarrhoea in the last 2 weeks taken to a health facility (%),Treatment of Childhood Diseases (children under age 5 years),73.9,72.5,73.2,62
Tamil Nadu,63,Prevalence of symptoms of acute respiratory infection (ARI) in the last 2 weeks preceding the survey (%),Treatment of Childhood Diseases (children under age 5 years),2.7,2.9,2.8,3.7
Tamil Nadu,64,Children with fever or symptoms of ARI in the last 2 weeks preceding the survey taken to a health facility (%),Treatment of Childhood Diseases (children under age 5 years),83.4,81.1,82.2,77.5
Tamil Nadu,65,Children under age 3 years breastfed within one hour of birth (%),Child Feeding Practices and Nutritional Status of Children,55.4,54.2,54.7,55.2
Tamil Nadu,66,Children under age 6 months exclusively breastfed (%),Child Feeding Practices and Nutritional Status of Children,47.8,48.7,48.3,34.1
Tamil Nadu,67,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),Child Feeding Practices and Nutritional Status of Children,76.4,59.8,67.5,81.2
Tamil Nadu,68,Breastfeeding children age 6-23 months receiving an adequate diet (%),Child Feeding Practices and Nutritional Status of Children,20.9,21.8,21.4,na
Tamil Nadu,69,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),Child Feeding Practices and Nutritional Status of Children,42.6,51.5,47.1,na
Tamil Nadu,70,Total children age 6-23 months receiving an adequate diet (%),Child Feeding Practices and Nutritional Status of Children,29.4,31.7,30.7,na
Tamil Nadu,71,Children under 5 years who are stunted (height-for-age) (%),Child Feeding Practices and Nutritional Status of Children,25.5,28.6,27.1,30.9
Tamil Nadu,72,Children under 5 years who are wasted (weight-for-height) (%),Child Feeding Practices and Nutritional Status of Children,19,20.3,19.7,22.2
Tamil Nadu,73,Children under 5 years who are severely wasted (weight-for-height) (%),Child Feeding Practices and Nutritional Status of Children,8.2,7.6,7.9,8.9
Tamil Nadu,74,Children under 5 years who are underweight (weight-for-age) (%),Child Feeding Practices and Nutritional Status of Children,21.5,25.7,23.8,29.8
Tamil Nadu,75,Women whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2) (%),Nutritional Status of Adults (age 15-49 years),10.9,18.5,14.6,28.4
Tamil Nadu,76,Men whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2) (%),Nutritional Status of Adults (age 15-49 years),10.7,14.3,12.4,27.1
Tamil Nadu,77,Women who are overweight or obese (BMI >= 25.0 kg/m2) (%),Nutritional Status of Adults (age 15-49 years),36.2,25.4,30.9,20.9
Tamil Nadu,78,Men who are overweight or obese (BMI >= 25.0 kg/m2) (%),Nutritional Status of Adults (age 15-49 years),30.6,25.6,28.2,14.5
Tamil Nadu,79,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),Anaemia among Children and Adults,48.6,52.5,50.7,64.2
Tamil Nadu,80,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),Anaemia among Children and Adults,53.9,56.9,55.4,53.1
Tamil Nadu,81,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),Anaemia among Children and Adults,37.2,52.1,44.4,54.7
Tamil Nadu,82,All women age 15-49 years who are anaemic (%),Anaemia among Children and Adults,53.4,56.8,55.1,53.2
Tamil Nadu,83,Men age 15-49 years who are anaemic (<13.0 g/dl) (%),Anaemia among Children and Adults,16.9,24.3,20.4,16.6
Tamil Nadu,84,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,8,6.3,7.1,na
Tamil Nadu,85,Blood sugar level - very high (>160 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,4.5,3.4,3.9,na
Tamil Nadu,86,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Men,10.2,9.2,9.7,na
Tamil Nadu,87,Blood sugar level - very high (>160 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Men,5.9,5.3,5.6,na
Tamil Nadu,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,6.8,5.5,6.2,na
Tamil Nadu,89,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,1.9,1.2,1.6,na
Tamil Nadu,90,Very high (Systolic 180 mm of Hg and/or Diastolic 110 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,0.6,0.5,0.5,na
Tamil Nadu,91,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,12.2,10.8,11.5,na
Tamil Nadu,92,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,3,2.5,2.8,na
Tamil Nadu,93,Very high (Systolic 180 mm of Hg and/or Diastolic 110 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,1.2,1.2,1.2,na
Tamil Nadu,94,Cervix (%),Women Age 15-49 Years Who Have Ever Undergone Examinations of,21.7,24.4,23.1,na
Tamil Nadu,95,Breast (%),Women Age 15-49 Years Who Have Ever Undergone Examinations of,14,16.9,15.4,na
Tamil Nadu,96,Oral cavity (%),Women Age 15-49 Years Who Have Ever Undergone Examinations of,11.2,13,12.1,na
Tamil Nadu,97,Women who have comprehensive knowledge17 of HIV/AIDS (%),Knowledge of HIV/AIDS among Adults (age 15-49 years),16.4,15.6,16,12.3
Tamil Nadu,98,Men who have comprehensive knowledge17 of HIV/AIDS (%),Knowledge of HIV/AIDS among Adults (age 15-49 years),10.6,11.3,10.9,37.4
Tamil Nadu,99,Women who know that consistent condom use can reduce the chances of getting HIV/AIDS (%),Knowledge of HIV/AIDS among Adults (age 15-49 years),67.8,61.6,64.7,41.9
Tamil Nadu,100,Men who know that consistent condom use can reduce the chances of getting HIV/AIDS (%),Knowledge of HIV/AIDS among Adults (age 15-49 years),81.2,78.2,79.7,82
Tamil Nadu,101,Currently married women who usually participate in household decisions (%),Women's Empowerment and Gender Based Violence (age 15-49 years),83.3,84.7,84,87.4
Tamil Nadu,102,Women who worked in the last 12 months who were paid in cash (%),Women's Empowerment and Gender Based Violence (age 15-49 years),25.2,35.7,30.5,45.7
Tamil Nadu,103,Ever-married women who have ever experienced spousal violence (%),Women's Empowerment and Gender Based Violence (age 15-49 years),37.2,44.2,40.6,41.9
Tamil Nadu,104,Ever-married women who have experienced violence during any pregnancy (%),Women's Empowerment and Gender Based Violence (age 15-49 years),5,7.5,6.2,na
Tamil Nadu,105,Women owning a house and/or land (alone or jointly with others) (%),Women's Empowerment and Gender Based Violence (age 15-49 years),34.6,37.9,36.2,na
Tamil Nadu,106,Women having a bank or savings account that they themselves use (%),Women's Empowerment and Gender Based Violence (age 15-49 years),75.7,78.3,77,15.9
Tamil Nadu,107,Women having a mobile phone that they themselves use (%),Women's Empowerment and Gender Based Violence (age 15-49 years),70.7,53.4,62,na
Tamil Nadu,108,Women age 15-24 years who use hygienic methods of protection during their menstrual period18 (%),Women's Empowerment and Gender Based Violence (age 15-49 years),93.5,89.5,91.4,na
Tamil Nadu,109,Women who use any kind of tobacco (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),1.5,3,2.2,2.8
Tamil Nadu,110,Men who use any kind of tobacco (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),32.2,31.2,31.7,40.1
Tamil Nadu,111,Women who consume alcohol (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),0.5,0.3,0.4,0.1
Tamil Nadu,112,Men who consume alcohol (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),46,47.4,46.7,41.5
Tamil Nadu,113,Women who tried to stop smoking or using tobacco in any other form during the past 12 months (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),44.8,38.1,40.4,na
Tamil Nadu,114,Men who tried to stop smoking or using tobacco in any other form (during the past 12 months) (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),26.1,20.1,23.3,na
Telangana,23,#N/A,#N/A,54.9,53.6,54.2,
Telangana,1,Population (female) age 6 years and above who ever attended school (%),Population and Household Profile ,76.6,50.4,62.2,
Telangana,2,Population below age 15 years (%),Population and Household Profile ,24.9,25.1,25,
Telangana,3,"Sex ratio of the total population (females per 1,000 males)",Population and Household Profile ,976,"1,035","1,007",
Telangana,4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",Population and Household Profile ,884,865,874,
Telangana,5,Children under age 5 years whose birth was registered (%),Population and Household Profile ,89.9,76.5,82.9,
Telangana,6,Households with electricity (%),Population and Household Profile ,99.5,97.2,98.2,
Telangana,7,Households with an improved drinking-water source1 (%),Population and Household Profile ,80.1,75.6,77.6,
Telangana,8,Households using improved sanitation facility (%),Population and Household Profile ,64.4,38.9,50.2,
Telangana,9,Households using clean fuel for cooking (%),Population and Household Profile ,90.1,48.2,66.8,
Telangana,10,Households using iodized salt (%),Population and Household Profile ,99.2,93,95.8,
Telangana,11,Households with any usual member covered by a health scheme or health insurance (%),Population and Household Profile ,53.5,76.7,66.4,
Telangana,12,Women who are literate (%),Characteristics of Adults (age 15-49) ,79.3,52.4,65.2,
Telangana,13,Men who are literate (%),Characteristics of Adults (age 15-49) ,90.8,76.5,83.4,
Telangana,14,Women with 10 or more years of schooling (%),Characteristics of Adults (age 15-49) ,57.3,30.5,43.3,
Telangana,15,Women age 20-24 years married before age 18 years (%),Marriage and Fertility,15.7,35,25.7,
Telangana,16,Men age 25-29 years married before age 21 years (%),Marriage and Fertility,14.5,32.3,23.9,
Telangana,17,Total fertility rate (children per woman),Marriage and Fertility,1.7,1.9,1.8,
Telangana,18,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),Marriage and Fertility,6.5,13.8,10.6,
Telangana,19,Infant mortality rate (IMR),"Infant and Child Mortality Rates (per 1,000 live births)",20,35,28,
Telangana,20,Under-five mortality rate (U5MR),"Infant and Child Mortality Rates (per 1,000 live births)",25,38,32,
Telangana,21,Any method (%),Current Use of Family Planning Methods (currently married women age 15-49 years),58.8,55.8,57.2,
Telangana,22,Any modern method (%),Current Use of Family Planning Methods (currently married women age 15-49 years),58.3,55.8,56.9,
Telangana,24,Male sterilization (%),Current Use of Family Planning Methods (currently married women age 15-49 years),1.4,1.7,1.6,
Telangana,25,IUD/PPIUD (%),Current Use of Family Planning Methods (currently married women age 15-49 years),0.6,0.1,0.3,
